"ADDRESS","BOROUGH","BIN","ZIP","CD","HPD_VIOLATIONS","DOB_VIOLATIONS","TOTAL_VIOLATIONS","DWELLING_UNITS","VIO_UNITS_RATIO"
"2459 85 STREET","Brooklyn","3185272","11214","311","31","1","32","3","10.7"
"2526 85 STREET","Brooklyn","3185391","11214","311","19","0","19","4","4.8"
"8619 23 AVE","Brooklyn","3185411","11214","311","44","0","44","6","7.3"
"2744 W 16 ST","Brooklyn","3188451","11224","313","36","0","36","8","4.5"
"2742 WEST   15 STREET","Brooklyn","3188481","11224","313","30","0","30","8","3.8"
"2767 WEST 15 STREET","Brooklyn","3188504","11224","313","29","1","30","6","5"
"2802 WEST   36 STREET","Brooklyn","3188683","11224","313","33","0","33","6","5.5"
"2820 WEST 36 STREET","Brooklyn","3188686","11224","313","35","0","35","4","8.8"
"2822 WEST   36 STREET","Brooklyn","3188687","11224","313","18","0","18","4","4.5"
"2826 WEST   36 STREET","Brooklyn","3188688","11224","313","14","0","14","4","3.5"
"2844 WEST   36 STREET","Brooklyn","3188694","11224","313","20","0","20","6","3.3"
"2820 WEST   35 STREET","Brooklyn","3188718","11224","313","23","0","23","5","4.6"
"2832 WEST   35 STREET","Brooklyn","3188722","11224","313","21","0","21","4","5.3"
"2842 WEST   35 STREET","Brooklyn","3188725","11224","313","101","0","101","4","25.3"
"2803 MERMAID AVENUE","Brooklyn","3188867","11224","313","33","0","33","7","4.7"
"2807 MERMAID AVENUE","Brooklyn","3188869","11224","313","20","0","20","4","5"
"2830 WEST   19 STREET","Brooklyn","3188995","11224","313","12","0","12","4","3"
"2846 WEST   17 STREET","Brooklyn","3189039","11224","313","35","0","35","4","8.8"
"1607 MERMAID AVENUE","Brooklyn","3189068","11224","313","16","7","23","3","7.7"
"2827 WEST   15 STREET","Brooklyn","3189127","11224","313","21","0","21","5","4.2"
"4035 ATLANTIC AVENUE","Brooklyn","3189295","11224","313","24","0","24","5","4.8"
"1904 MERMAID AVENUE","Brooklyn","3189558","11224","313","38","0","38","3","12.7"
"1718 MERMAID AVENUE","Brooklyn","3189575","11224","313","35","0","35","7","5"
"1412 MERMAID AVENUE","Brooklyn","3189602","11224","313","50","0","50","6","8.3"
"169 AVENUE T","Brooklyn","3190174","11223","311","36","0","36","4","9"
"1942 EAST 8 STREET","Brooklyn","3190528","11223","315","48","0","48","6","8"
"1984 EAST 8 STREET","Brooklyn","3190539","11223","315","16","1","17","4","4.3"
"2151 WEST    5 STREET","Brooklyn","3192620","11223","315","13","0","13","3","4.3"
"320 AVENUE U","Brooklyn","3192671","11223","315","9","0","9","3","3"
"2143 WEST STREET","Brooklyn","3192767","11223","315","18","0","18","4","4.5"
"2115 EAST 1 STREET","Brooklyn","3192817","11223","315","173","0","173","3","57.7"
"420 AVENUE U","Brooklyn","3192866","11223","315","12","0","12","4","3"
"2102 EAST 8 STREET","Brooklyn","3193094","11223","315","15","0","15","4","3.8"
"902 AVENUE U","Brooklyn","3193186","11223","315","16","0","16","4","4"
"2280 EAST 7 STREET","Brooklyn","3193994","11223","315","39","0","39","6","6.5"
"314 AVENUE W","Brooklyn","3194499","11223","315","9","0","9","3","3"
"2314 EAST 1 STREET","Brooklyn","3194557","11223","315","11","0","11","3","3.7"
"14 BOULEVARD COURT","Brooklyn","3194770","11223","315","13","0","13","3","4.3"
"510 AVENUE Y","Brooklyn","3195863","11223","313","9","0","9","3","3"
"367 NEPTUNE AVENUE","Brooklyn","3196332","11235","313","103","8","111","6","18.5"
"277 NEPTUNE AVENUE","Brooklyn","3196384","11235","313","49","0","49","5","9.8"
"283 NEPTUNE AVENUE","Brooklyn","3196387","11235","313","49","0","49","5","9.8"
"225 NEPTUNE AVENUE","Brooklyn","3196431","11235","313","29","0","29","5","5.8"
"193 NEPTUNE AVENUE","Brooklyn","3196511","11235","313","21","0","21","5","4.2"
"717 BRIGHTON    8 COURT","Brooklyn","3196529","11235","313","34","1","35","3","11.7"
"714 BANNER AVENUE","Brooklyn","3196537","11235","313","32","0","32","4","8"
"2079 EAST 26 STREET","Brooklyn","3198712","11229","315","15","0","15","5","3"
"2101 EAST 18 STREET","Brooklyn","3199694","11229","315","13","1","14","4","3.5"
"2622 OCEAN AVENUE","Brooklyn","3199767","11229","315","97","5","102","47","2.2"
"2583 OCEAN AVENUE","Brooklyn","3199831","11229","315","33","0","33","4","8.3"
"1714 AVENUE V","Brooklyn","3200861","11229","315","32","0","32","6","5.3"
"2909 OCEAN AVENUE","Brooklyn","3204413","11235","315","115","1","116","55","2.1"
"2004 GLENWOOD ROAD","Brooklyn","3205715","11210","314","138","0","138","23","6"
"1490 FLATBUSH AVENUE","Brooklyn","3205858","11210","314","25","0","25","4","6.3"
"1003 EAST   37 STREET","Brooklyn","3206171","11210","317","28","0","28","3","9.3"
"848 EAST 28 STREET","Brooklyn","3206389","11210","314","120","0","120","40","3"
"1791 NEW YORK AVENUE","Brooklyn","3207263","11210","318","48","0","48","15","3.2"
"1075 EAST   35 STREET","Brooklyn","3207351","11210","318","173","0","173","16","10.8"
"2458 NOSTRAND AVENUE","Brooklyn","3207878","11210","314","102","0","102","5","20.4"
"2389 NOSTRAND AVENUE","Brooklyn","3207887","11210","318","103","0","103","24","4.3"
"1155 EAST 35 STREET","Brooklyn","3208200","11210","318","106","2","108","38","2.8"
"1479 EAST 34 STREET","Brooklyn","3210501","11234","318","17","0","17","4","4.3"
"1515 EAST 27 STREET","Brooklyn","3211155","11229","315","28","0","28","3","9.3"
"3801 AVENUE P","Brooklyn","3211948","11234","318","25","0","25","3","8.3"
"1115 EAST   58 STREET","Brooklyn","3216841","11234","318","12","0","12","3","4"
"1495 EAST   46 STREET","Brooklyn","3217542","11234","318","115","28","143","8","17.9"
"3842 FLATLANDS AVENUE","Brooklyn","3219247","11234","318","10","0","10","3","3.3"
"2086 FLATBUSH AVENUE","Brooklyn","3219565","11234","318","17","0","17","3","5.7"
"5019 AVENUE N","Brooklyn","3219951","11234","318","9","0","9","3","3"
"1787 EAST   51 STREET","Brooklyn","3220999","11234","318","66","0","66","3","22"
"748 EAST   53 STREET","Brooklyn","3222110","11203","317","96","0","96","3","32"
"644 EAST   89 STREET","Brooklyn","3224089","11236","318","46","0","46","4","11.5"
"1106 REMSEN AVENUE","Brooklyn","3224132","11236","318","106","2","108","17","6.4"
"8410 GLENWOOD ROAD","Brooklyn","3224502","11236","318","73","0","73","3","24.3"
"8111 AVENUE K","Brooklyn","3225584","11236","318","0","9","9","3","3"
"720 EAST 91 STREET","Brooklyn","3228176","11236","317","29","2","31","3","10.3"
"9122 AVENUE B","Brooklyn","3228202","11236","317","11","0","11","3","3.7"
"936 EAST 92 STREET","Brooklyn","3228530","11236","318","37","5","42","4","10.5"
"888 EAST 96 STREET","Brooklyn","3228689","11236","318","151","9","160","32","5"
"903 EAST 95 STREET","Brooklyn","3228697","11236","318","98","7","105","3","35"
"945 EAST 94 STREET","Brooklyn","3228923","11236","318","110","0","110","41","2.7"
"1396 EAST 92 STREET","Brooklyn","3231607","11236","318","96","0","96","3","32"
"10801 SEAVIEW AVENUE","Brooklyn","3233305","11236","318","24","0","24","5","4.8"
"220 BRIGHTON    1 COURT","Brooklyn","3244651","11235","313","6","3","9","3","3"
"3039 BRIGHTON 4 STREET","Brooklyn","3244850","11235","313","119","10","129","8","16.1"
"3029 BRIGHTON    5 STREET","Brooklyn","3244879","11235","313","11","0","11","3","3.7"
"3017 BRIGHTON    5 STREET","Brooklyn","3244883","11235","313","31","15","46","14","3.3"
"3066 BRIGHTON    7 STREET","Brooklyn","3244963","11235","313","0","16","16","3","5.3"
"312 BRIGHTON BEACH AVENUE","Brooklyn","3245071","11235","313","14","0","14","3","4.7"
"3119 CONEY ISLAND AVENUE","Brooklyn","3245306","11235","313","17","0","17","3","5.7"
"1014 OCEAN VIEW AVENUE","Brooklyn","3245309","11235","313","15","0","15","4","3.8"
"105 BRIGHTON 11 STREET","Brooklyn","3245425","11235","313","97","2","99","6","16.5"
"2766 EAST   16 STREET","Brooklyn","3246962","11235","315","22","0","22","6","3.7"
"2826 BRAGG STREET","Brooklyn","3247910","11235","315","9","0","9","3","3"
"99 GRATTAN STREET","Brooklyn","3251794","11237","301","23","0","23","6","3.8"
"407 NEW JERSEY AVENUE","Brooklyn","3252596","11207","305","12","0","12","3","4"
"542 WILLIAMS AVENUE","Brooklyn","3252666","11207","305","22","0","22","6","3.7"
"3338 SHORE PARKWAY","Brooklyn","3255050","11235","315","11","0","11","3","3.7"
"119 QUINCY STREET","Brooklyn","3255180","11216","303","20","1","21","4","5.3"
"184 MILFORD STREET","Brooklyn","3256559","11208","305","34","0","34","3","11.3"
"371 ETNA STREET","Brooklyn","3256588","11208","305","118","0","118","56","2.1"
"644 NEW YORK AVENUE","Brooklyn","3256647","11203","309","9","0","9","3","3"
"646 NEW YORK AVENUE","Brooklyn","3258893","11203","309","15","0","15","3","5"
"945 59 STREET","Brooklyn","3258936","11219","312","23","0","23","4","5.8"
"762 CLASSON AVENUE","Brooklyn","3259312","11238","308","27","0","27","7","3.9"
"5 PULASKI STREET","Brooklyn","3259370","11206","303","17","0","17","3","5.7"
"159 MILTON STREET","Brooklyn","3259442","11222","301","38","0","38","8","4.8"
"1186 NOSTRAND AVENUE","Brooklyn","3259609","11225","309","38","0","38","3","12.7"
"53 HART STREET","Brooklyn","3259664","11206","303","33","0","33","7","4.7"
"65 SOUTH    9 STREET","Brooklyn","3319508","11249","301","13","0","13","3","4.3"
"312 NEW LOTS AVENUE","Brooklyn","3319735","11207","305","40","0","40","13","3.1"
"8809 21 AV","Brooklyn","3320721","11214","311","24","0","24","3","8"
"874 EAST   28 STREET","Brooklyn","3320963","11210","314","19","0","19","6","3.2"
"2729 WEST   16 STREET","Brooklyn","3321187","11224","313","16","0","16","3","5.3"
"249 METROPOLITAN AVENUE","Brooklyn","3321243","11211","301","31","0","31","8","3.9"
"642 DRIGGS AVENUE","Brooklyn","3321245","11211","301","39","0","39","8","4.9"
"1035 MANHATTAN AVENUE","Brooklyn","3321435","11222","301","43","0","43","6","7.2"
"177 HURON STREET","Brooklyn","3321454","11222","301","82","0","82","6","13.7"
"917 MANHATTAN AVENUE","Brooklyn","3321505","11222","301","21","0","21","3","7"
"2828REAR STILLWELL AVENUE","Brooklyn","3321737","11224","313","10","0","10","3","3.3"
"185 KOSCIUSKO STREET","Brooklyn","3322110","11216","303","171","4","175","23","7.6"
"477 GATES AVE","Brooklyn","3322225","11216","303","94","1","95","36","2.6"
"531 GATES AVENUE","Brooklyn","3322232","11216","303","13","0","13","4","3.3"
"529A GATES AVENUE","Brooklyn","3322233","11216","303","29","0","29","4","7.3"
"368 87 STREET","Brooklyn","3322521","11209","310","92","0","92","16","5.8"
"364 87 ST","Brooklyn","3322522","11209","310","61","0","61","16","3.8"
"644A LORIMER STREET","Brooklyn","3322795","11211","301","0","27","27","5","5.4"
"105 EAST   86 STREET","Brooklyn","3323115","11236","317","68","0","68","18","3.8"
"1799 NOSTRAND AVENUE","Brooklyn","3323164","11226","317","89","0","89","5","17.8"
"92 COFFEY STREET","Brooklyn","3323751","11231","306","77","0","77","8","9.6"
"332 ST JOHNS PLACE","Brooklyn","3324413","11238","308","93","0","93","30","3.1"
"1274 PACIFIC STREET","Brooklyn","3324465","11216","308","72","0","72","16","4.5"
"5902 5 AVENUE","Brooklyn","3324491","11220","307","22","0","22","5","4.4"
"99 ALBANY AVENUE","Brooklyn","3324579","11213","308","12","0","12","4","3"
"1165 EASTERN PARKWAY","Brooklyn","3324648","11213","308","81","0","81","16","5.1"
"1159 EASTERN PARKWAY","Brooklyn","3324649","11213","308","146","0","146","16","9.1"
"161 SOUTH    9 STREET","Brooklyn","3324741","11211","301","3","10","13","4","3.3"
"126 LEE AVENUE","Brooklyn","3324751","11211","301","48","0","48","12","4"
"109 NORTH    7 STREET","Brooklyn","3324821","11249","301","49","0","49","8","6.1"
"216 NORTH    8 STREET","Brooklyn","3324843","11211","301","19","1","20","3","6.7"
"986 GREENE AVENUE","Brooklyn","3324999","11221","303","306","3","309","20","15.4"
"982 GREENE AVENUE","Brooklyn","3325000","11221","303","260","0","260","20","13"
"190 WILSON AVENUE","Brooklyn","3325529","11237","304","20","0","20","5","4"
"129 GRAHAM AVENUE","Brooklyn","3325864","11206","301","18","41","59","6","9.8"
"255 BERGEN STREET","Brooklyn","3326008","11217","302","56","8","64","16","4"
"14 JUDGE ST","Brooklyn","3326104","11211","301","23","0","23","7","3.3"
"1573 BUSHWICK AVENUE","Brooklyn","3326365","11207","304","83","0","83","6","13.8"
"390 CHESTER STREET","Brooklyn","3326557","11212","316","17","1","18","3","6"
"330 MILLER AVENUE","Brooklyn","3327011","11207","305","158","1","159","16","9.9"
"1740 NOSTRAND AVENUE","Brooklyn","3327301","11226","317","90","0","90","4","22.5"
"1167 FLATBUSH AVE","Brooklyn","3327303","11226","314","38","0","38","12","3.2"
"1310 FLATBUSH AVENUE","Brooklyn","3327323","11210","314","12","0","12","4","3"
"619 EAST   14 STREET","Brooklyn","3327325","11230","314","60","0","60","16","3.8"
"1204 OCEAN AVENUE","Brooklyn","3327327","11230","314","80","0","80","22","3.6"
"1192 OCEAN AVENUE","Brooklyn","3327328","11230","314","99","0","99","20","5"
"1198 OCEAN AVENUE","Brooklyn","3327329","11230","314","263","1","264","16","16.5"
"5709 13 AVENUE","Brooklyn","3327450","11219","312","9","0","9","3","3"
"5510 13TH   AVE","Brooklyn","3327728","11219","312","84","0","84","19","4.4"
"1476 CONEY ISLAND AVENUE","Brooklyn","3327812","11230","312","45","0","45","5","9"
"182 GRAHAM AVENUE","Brooklyn","3327943","11206","301","37","67","104","4","26"
"791 FLUSHING AVENUE","Brooklyn","3327990","11206","301","65","1","66","6","11"
"171 TROUTMAN STREET","Brooklyn","3328084","11206","304","12","0","12","3","4"
"1265 ROGERS AVENUE","Brooklyn","3328288","11226","317","16","0","16","3","5.3"
"105 16 STREET","Brooklyn","3328472","11215","307","13","0","13","3","4.3"
"105 4 AVENUE","Brooklyn","3330879","11217","306","37","1","38","8","4.8"
"285 EASTERN PARKWAY","Brooklyn","3331283","11238","308","51","0","51","17","3"
"1035 RUTLAND ROAD","Brooklyn","3331870","11212","317","49","2","51","4","12.8"
"558 VERMONT STREET","Brooklyn","3331969","11207","305","18","0","18","4","4.5"
"148 COZINE AVENUE","Brooklyn","3335422","11207","305","23","0","23","4","5.8"
"531 KOSCIUSKO STREET","Brooklyn","3335584","11221","303","11","0","11","3","3.7"
"827 FLATBUSH AVENUE","Brooklyn","3335776","11226","314","26","0","26","3","8.7"
"297 BROADWAY","Brooklyn","3335972","11211","301","12","3","15","4","3.8"
"800 ROGERS AVENUE","Brooklyn","3336214","11226","317","51","0","51","3","17"
"851 ROGERS AVENUE","Brooklyn","3336220","11226","317","23","1","24","5","4.8"
"149 KENILWORTH PLACE","Brooklyn","3336753","11210","314","25","0","25","3","8.3"
"476 47TH STREET","Brooklyn","3337226","11220","307","34","0","34","5","6.8"
"259 4 AVENUE","Brooklyn","3337427","11215","306","3","9","12","4","3"
"2339 PACIFIC STREET","Brooklyn","3337895","11233","316","164","0","164","22","7.5"
"509 HANCOCK STREET","Brooklyn","3338008","11233","303","14","0","14","3","4.7"
"159 SUYDAM STREET","Brooklyn","3338457","11221","304","31","3","34","7","4.9"
"666 FLUSHING AVENUE","Brooklyn","3338542","11206","303","26","1","27","4","6.8"
"1159 BEDFORD AVENUE","Brooklyn","3338694","11216","303","10","0","10","3","3.3"
"2960 WEST   27 STREET","Brooklyn","3339183","11224","313","357","3","360","132","2.7"
"79 EAST   18 STREET","Brooklyn","3339384","11226","314","36","0","36","6","6"
"1236 EAST   82 STREET","Brooklyn","3339728","11236","318","14","0","14","4","3.5"
"678 LAFAYETTE AVENUE","Brooklyn","3340280","11216","303","0","16","16","3","5.3"
"1007 EAST   86 STREET","Brooklyn","3340322","11236","318","13","0","13","3","4.3"
"1005 EAST   86 STREET","Brooklyn","3340323","11236","318","8","1","9","3","3"
"1003 EAST   86 STREET","Brooklyn","3340324","11236","318","19","0","19","3","6.3"
"557 EAST   87 STREET","Brooklyn","3340331","11236","318","17","1","18","4","4.5"
"901 EAST   76 STREET","Brooklyn","3340422","11236","318","24","0","24","6","4"
"911 EAST   76 STREET","Brooklyn","3340424","11236","318","24","0","24","6","4"
"919 EAST   76 STREET","Brooklyn","3340425","11236","318","32","0","32","6","5.3"
"73 TEHAMA STREET","Brooklyn","3340630","11218","312","18","0","18","3","6"
"12425 FLATLANDS AVENUE","Brooklyn","3341452","11208","305","13","0","13","4","3.3"
"8602 AVENUE L","Brooklyn","3341494","11236","318","35","0","35","4","8.8"
"636 11 STREET","Brooklyn","3341661","11215","306","19","0","19","3","6.3"
"348 CUMBERLAND STREET","Brooklyn","3341961","11238","302","0","13","13","3","4.3"
"272 DIVISION AVENUE","Brooklyn","3341990","11211","301","33","0","33","8","4.1"
"120 GROVE STREET","Brooklyn","3342269","11221","304","101","0","101","16","6.3"
"290 SUMPTER STREET","Brooklyn","3342410","11233","316","10","0","10","3","3.3"
"166 SUMPTER STREET","Brooklyn","3342448","11233","303","36","2","38","6","6.3"
"59 DOSCHER STREET","Brooklyn","3342507","11208","305","9","0","9","3","3"
"1105 MADISON STREET","Brooklyn","3342588","11221","304","69","0","69","18","3.8"
"67 DOSCHER STREET","Brooklyn","3342861","11208","305","17","0","17","3","5.7"
"762 ELDERT LANE","Brooklyn","3343250","11208","305","1205","20","1225","294","4.2"
"800 ELDERT LANE","Brooklyn","3343252","11208","305","1306","0","1306","294","4.4"
"780 ELDERT LANE","Brooklyn","3343253","11208","305","1333","11","1344","300","4.5"
"725 LINCOLN AVENUE","Brooklyn","3343255","11208","305","21","1","22","5","4.4"
"735 LINCOLN AVENUE","Brooklyn","3343256","11208","305","1043","14","1057","294","3.6"
"745 LINCOLN AVENUE","Brooklyn","3343257","11208","305","32","0","32","5","6.4"
"755 LINCOLN AVENUE","Brooklyn","3343258","11208","305","31","0","31","6","5.2"
"765 LINCOLN AVENUE","Brooklyn","3343260","11208","305","1929","14","1943","294","6.6"
"168 WEIRFIELD STREET","Brooklyn","3343475","11221","304","15","0","15","4","3.8"
"263 EAST   92 STREET","Brooklyn","3343610","11212","317","117","0","117","4","29.3"
"221 LINDEN BOULEVARD","Brooklyn","3344031","11226","317","275","8","283","72","3.9"
"1499 EAST   46 STREET","Brooklyn","3344586","11234","318","89","11","100","8","12.5"
"336 64 STREET","Brooklyn","3345064","11220","310","13","2","15","4","3.8"
"422 CHESTER STREET","Brooklyn","3345357","11212","316","10","2","12","3","4"
"796 DREW STREET","Brooklyn","3345399","11208","305","32","0","32","4","8"
"1079 EAST   72 STREET","Brooklyn","3345517","11234","318","25","0","25","4","6.3"
"720 EAST  103 STREET","Brooklyn","3345552","11236","318","13","0","13","4","3.3"
"65 EAST   92 STREET","Brooklyn","3346866","11212","317","192","1","193","34","5.7"
"406 EAST   21 STREET","Brooklyn","3347120","11226","314","11","0","11","3","3.7"
"244 SUMPTER STREET","Brooklyn","3347132","11233","316","35","0","35","6","5.8"
"358 SOUTH    3 STREET","Brooklyn","3347321","11211","301","0","9","9","3","3"
"575 GRAND AVENUE","Brooklyn","3347547","11238","308","35","0","35","3","11.7"
"579 GRAND AVENUE","Brooklyn","3347548","11238","308","11","0","11","3","3.7"
"329 18 STREET","Brooklyn","3348053","11215","307","112","0","112","6","18.7"
"236 PULASKI STREET","Brooklyn","3348296","11206","303","52","0","52","8","6.5"
"40 CHRISTOPHER AVENUE","Brooklyn","3348366","11212","316","124","2","126","4","31.5"
"581 GRAND AVENUE","Brooklyn","3348534","11238","308","13","0","13","3","4.3"
"585 GRAND AVENUE","Brooklyn","3348536","11238","308","11","0","11","3","3.7"
"587 GRAND AVENUE","Brooklyn","3348537","11238","308","27","0","27","3","9"
"591 GRAND AVENUE","Brooklyn","3348538","11238","308","24","0","24","6","4"
"593 GRAND AVENUE","Brooklyn","3348539","11238","308","13","0","13","3","4.3"
"463 BELMONT AVENUE","Brooklyn","3348679","11207","305","12","0","12","3","4"
"1064 VERMONT STREET","Brooklyn","3348807","11207","305","13","0","13","4","3.3"
"156 COZINE AVENUE","Brooklyn","3348808","11207","305","27","0","27","4","6.8"
"12161 FLATLANDS AVENUE","Brooklyn","3348814","11207","305","12","0","12","4","3"
"3410 GLENWOOD ROAD","Brooklyn","3349066","11210","317","11","0","11","3","3.7"
"325 SHEPHERD AVENUE","Brooklyn","3350169","11208","305","76","9","85","3","28.3"
"739 DE KALB AVENUE","Brooklyn","3378134","11216","303","26","4","30","8","3.8"
"1520 PACIFIC STREET","Brooklyn","3378301","11213","308","9","0","9","3","3"
"377 SARATOGA AVENUE","Brooklyn","3378382","11233","316","25","0","25","3","8.3"
"1975 PACIFIC STREET","Brooklyn","3378488","11233","308","9","0","9","3","3"
"972 MONTGOMERY STREET","Brooklyn","3379434","11213","309","17","0","17","4","4.3"
"81 VANDERVEER STREET","Brooklyn","3387609","11207","304","21","0","21","3","7"
"774 HERKIMER STREET","Brooklyn","3388039","11233","303","38","3","41","3","13.7"
"972 GATES AVENUE","Brooklyn","3388174","11221","303","12","0","12","3","4"
"713 JEROME STREET","Brooklyn","3388205","11207","305","21","0","21","3","7"
"127 BLAKE AVENUE","Brooklyn","3388271","11212","316","87","1","88","4","22"
"580 NEW JERSEY AVENUE","Brooklyn","3388274","11207","305","100","0","100","3","33.3"
"870 KNICKERBOCKER AVENUE","Brooklyn","3388416","11207","304","35","1","36","3","12"
"848 BELMONT AVENUE","Brooklyn","3388427","11208","305","9","0","9","3","3"
"852 BELMONT AVENUE","Brooklyn","3388429","11208","305","9","0","9","3","3"
"1551 DEAN STREET","Brooklyn","3388499","11213","308","21","0","21","3","7"
"1568A PROSPECT PLACE","Brooklyn","3388822","11233","308","26","0","26","3","8.7"
"1568 PROSPECT PLACE","Brooklyn","3388827","11233","308","10","0","10","3","3.3"
"586 LIBERTY AVENUE","Brooklyn","3388926","11207","305","54","1","55","3","18.3"
"662 NEW YORK AVENUE","Brooklyn","3388972","11203","309","14","1","15","3","5"
"554 60 STREET","Brooklyn","3389001","11220","307","15","0","15","4","3.8"
"14 RADDE PLACE","Brooklyn","3389104","11233","316","21","0","21","3","7"
"2016 STRAUSS STREET","Brooklyn","3389159","11212","316","9","0","9","3","3"
"705 FOUNTAIN AVENUE","Brooklyn","3389191","11208","305","9","0","9","3","3"
"422 AMBER STREET","Brooklyn","3389320","11208","305","11","0","11","3","3.7"
"627 EMERALD STREET","Brooklyn","3389331","11208","305","12","0","12","3","4"
"273 HULL STREET","Brooklyn","3389401","11233","316","21","0","21","3","7"
"816 DUMONT AVENUE","Brooklyn","3389422","11207","305","33","0","33","3","11"
"123 CHESTER STREET","Brooklyn","3389487","11212","316","16","0","16","3","5.3"
"2135 STRAUSS STREET","Brooklyn","3389494","11212","316","8","1","9","3","3"
"108 LIVONIA AVENUE","Brooklyn","3389495","11212","316","19","0","19","3","6.3"
"106 LIVONIA AVENUE","Brooklyn","3389496","11212","316","9","0","9","3","3"
"334 HERZL STREET","Brooklyn","3389499","11212","316","13","0","13","3","4.3"
"264 ESSEX STREET","Brooklyn","3389514","11208","305","14","0","14","3","4.7"
"497 MAPLE STREET","Brooklyn","3389618","11225","309","29","0","29","3","9.7"
"2605 ALBERMARLE ROAD","Brooklyn","3389629","11226","317","36","0","36","3","12"
"2802 ALBEMARLE ROAD","Brooklyn","3389633","11226","317","40","0","40","3","13.3"
"75 EAST   28 STREET","Brooklyn","3389635","11226","317","13","0","13","3","4.3"
"1723 DEAN STREET","Brooklyn","3389877","11213","308","11","1","12","3","4"
"1507 PARK PLACE","Brooklyn","3389911","11213","308","16","0","16","3","5.3"
"173 HULL STREET","Brooklyn","3389996","11233","316","44","0","44","3","14.7"
"329A PULASKI STREET","Brooklyn","3390013","11206","303","9","0","9","3","3"
"978 DE KALB AVENUE","Brooklyn","3390026","11221","303","9","0","9","3","3"
"907 GATES AVENUE","Brooklyn","3390045","11221","303","19","0","19","3","6.3"
"197 CHAUNCEY STREET","Brooklyn","3390058","11233","303","9","0","9","3","3"
"108 MARION STREET","Brooklyn","3390060","11233","303","55","0","55","3","18.3"
"175 MONROE STREET","Brooklyn","3390168","11216","303","11","0","11","3","3.7"
"436 FRANKLIN AVENUE","Brooklyn","3390216","11238","303","12","0","12","3","4"
"71 SUYDAM STREET","Brooklyn","3390270","11221","304","11","0","11","3","3.7"
"136 WOODBINE STREET","Brooklyn","3390319","11221","304","12","0","12","3","4"
"125 ELDERT STREET","Brooklyn","3390372","11207","304","29","1","30","3","10"
"1117 DECATUR STREET","Brooklyn","3390382","11207","304","14","0","14","3","4.7"
"1072 DECATUR STREET","Brooklyn","3390386","11207","304","9","0","9","3","3"
"73 COOPER STREET","Brooklyn","3390390","11207","304","62","1","63","3","21"
"131 WATKINS STREET","Brooklyn","3390437","11212","316","12","0","12","3","4"
"311 SHEFFIELD AVENUE","Brooklyn","3390462","11207","305","10","0","10","3","3.3"
"542 HINSDALE STREET","Brooklyn","3390474","11207","305","36","3","39","3","13"
"2289 PITKIN AVENUE","Brooklyn","3390500","11207","305","31","0","31","3","10.3"
"339 ELTON STREET","Brooklyn","3390509","11208","305","18","0","18","3","6"
"1172 SUTTER AVENUE","Brooklyn","3390602","11208","305","17","0","17","3","5.7"
"2405 ALBEMARLE ROAD","Brooklyn","3390701","11226","317","25","0","25","3","8.3"
"290 CONKLIN AVENUE","Brooklyn","3390745","11236","318","36","0","36","3","12"
"795 FOUNTAIN AVENUE","Brooklyn","3390862","11208","305","23","0","23","3","7.7"
"2517 SNYDER AVENUE","Brooklyn","3390883","11226","317","21","0","21","3","7"
"174 KOSCIUSZKO STREET","Brooklyn","3391029","11216","303","18","0","18","6","3"
"57 CHESTER STREET","Brooklyn","3391057","11212","316","21","0","21","3","7"
"223 MALCOLM X BOULEVARD","Brooklyn","3391227","11221","303","59","0","59","3","19.7"
"227 A MALCOLM X BOULEVARD","Brooklyn","3391329","11221","303","21","3","24","3","8"
"365 ESSEX STREET","Brooklyn","3391363","11208","305","12","1","13","3","4.3"
"916 HOPKINSON AVENUE","Brooklyn","3391442","11212","316","42","0","42","3","14"
"694 LINCOLN AVENUE","Brooklyn","3391633","11208","305","12","0","12","3","4"
"994 NEW YORK AVENUE","Brooklyn","3391657","11203","317","0","9","9","3","3"
"559 BRADFORD STREET","Brooklyn","3391665","11207","305","19","0","19","3","6.3"
"557 BRADFORD STREET","Brooklyn","3391666","11207","305","14","0","14","3","4.7"
"947 HOPKINSON AVENUE","Brooklyn","3391681","11212","316","9","0","9","3","3"
"283 POWELL STREET","Brooklyn","3391690","11212","316","11","0","11","3","3.7"
"356 LOGAN STREET","Brooklyn","3391704","11208","305","19","10","29","3","9.7"
"179 MONROE STREET","Brooklyn","3391831","11216","303","36","1","37","8","4.6"
"99 STOCKTON STREET","Brooklyn","3391838","11206","303","9","0","9","3","3"
"87 STOCKTON STREET","Brooklyn","3391847","11206","303","61","7","68","3","22.7"
"758 LIVONIA AVENUE","Brooklyn","3391894","11207","305","17","0","17","3","5.7"
"580 VAN SICLEN AVENUE","Brooklyn","3391902","11207","305","14","0","14","3","4.7"
"1048 CRESCENT STREET","Brooklyn","3392208","11208","305","9","0","9","3","3"
"147 MANHATTAN AVENUE","Brooklyn","3392631","11206","301","19","0","19","6","3.2"
"124 OSBORN STREET","Brooklyn","3392675","11212","316","15","0","15","3","5"
"427 HERKIMER STREET","Brooklyn","3392773","11213","303","84","0","84","3","28"
"73 CONKLIN AVENUE","Brooklyn","3392788","11236","318","42","0","42","3","14"
"771 DREW STREET","Brooklyn","3392970","11208","305","84","0","84","3","28"
